Epoch,Learning_Rate
1,0.1
2,0.1
3,0.1
4,0.1
5,0.09000000000000001
6,0.09000000000000001
7,0.09000000000000001
8,0.09000000000000001
9,0.09000000000000001
10,0.08100000000000002
11,0.08100000000000002
12,0.08100000000000002
13,0.08100000000000002
14,0.08100000000000002
15,0.07290000000000002
16,0.07290000000000002
17,0.07290000000000002
18,0.07290000000000002
19,0.07290000000000002
20,0.06561000000000002
21,0.06561000000000002
22,0.06561000000000002
23,0.06561000000000002
24,0.06561000000000002
25,0.05904900000000002
26,0.05904900000000002
27,0.05904900000000002
28,0.05904900000000002
29,0.05904900000000002
30,0.05314410000000002
31,0.05314410000000002
32,0.05314410000000002
33,0.05314410000000002
34,0.05314410000000002
35,0.04782969000000002
36,0.04782969000000002
37,0.04782969000000002
38,0.04782969000000002
39,0.04782969000000002
40,0.043046721000000024
41,0.043046721000000024
42,0.043046721000000024
43,0.043046721000000024
44,0.043046721000000024
45,0.03874204890000002
